date,n_pos,cash_pct,top1,top3,effN
1996-03-29,0,1.0,0.0,0.0,0.0
1996-06-28,1,0.9,0.1,0.1,99.99999999999999
1996-09-30,3,0.7,0.1,0.30000000000000004,33.33333333333333
1996-12-31,4,0.6058114479889177,0.10000000000000002,0.2996720001472813,25.728180717685376
1997-03-31,4,0.6350984951715983,0.1,0.2846654673354666,29.860122009428313
1997-06-30,4,0.6390503459509107,0.09999999999999999,0.27920485149740365,30.535356697320307
1997-09-30,4,0.6066732472943714,0.1,0.29778249775064886,25.84639077575815
1997-12-31,4,0.6266860865314391,0.09999999999999998,0.2930522781746704,28.508661411970177
1998-03-31,4,0.6187259420801956,0.10000000000000003,0.3000000000000001,27.31831969257183
1998-06-30,4,0.613659382541807,0.1,0.29525609426423816,26.759351168896984
1998-09-30,4,0.6587002501406889,0.09992584732296116,0.27300714817869776,33.45105911164276
1998-12-31,4,0.6449915668759596,0.1,0.28421073314200734,31.268293399574166
1999-03-31,4,0.6582398354065493,0.1,0.27965370190576777,33.311961025096174
1999-06-30,5,0.5548070843820038,0.1,0.2915799164064299,24.82783838792319
1999-09-30,5,0.5918885904130914,0.1,0.2795384571503836,28.59047833588595
1999-12-31,5,0.5894429465718659,0.09909500499761534,0.2863017521234399,28.228067321319138
2000-03-31,5,0.6238906310042852,0.08859861413354297,0.2590831041958371,33.859294135734984
2000-06-30,5,0.6511307922746183,0.09656941538488922,0.24999555830537645,38.061357335452655
2000-09-29,5,0.667446841210509,0.1,0.25856693194855557,38.920499528226124
2000-12-29,5,0.6457924134106698,0.1,0.275413424229701,34.750323913166575
2001-03-30,5,0.6458187061934991,0.09257172091940459,0.2486780544379333,37.931203986116785
2001-06-29,5,0.6050101005423826,0.09999999999999999,0.26608658803429197,31.044680558761407
2001-09-28,5,0.6221628181022346,0.1,0.26612492006051863,32.603369305525085
2001-12-31,5,0.5988502153549958,0.1,0.2790574273997668,29.643516745358937
2002-03-29,5,0.6000389207370784,0.09970367542808616,0.2782305116726307,29.819982773902073
2002-06-28,6,0.4902622534043949,0.1,0.30000000000000004,22.333987500435725
2002-09-30,6,0.516510358500587,0.1,0.30000000000000004,24.114704968084983
2002-12-31,6,0.5149228271311312,0.09999999999999998,0.2877784308190077,24.5002088431689
2003-03-31,6,0.5544347055090438,0.1,0.2783618158779627,28.00296158739138
2003-06-30,5,0.6210262965874164,0.1,0.2785052522737269,32.26551094695196
2003-09-30,5,0.6044902456502422,0.10000000000000002,0.2906145103494533,29.63633353382568
2003-12-31,5,0.5870969692049985,0.1,0.2856318126266407,28.285040861458633
2004-03-31,5,0.5844851823435531,0.1,0.28572884244756597,27.638320611582746
2004-06-30,6,0.4977923909422243,0.10000000000000002,0.2892367312178246,23.021877392436494
2004-09-30,6,0.5155981775946203,0.1,0.28267490171615484,24.476185153585394
