floor_usd,label,CAGR,Vol,Sharpe,MaxDD,Calmar,Pct_1y_ge_12,FinalNAV,avg_book
0.0,none,0.149044296165324,0.18633054508010496,0.8533549848269486,-0.41682622700634964,0.3575693814560607,0.631578947368421,60.24690649196838,22.661016949152543
25000000.0,$25M,0.16227871368567848,0.17384106923455053,0.966302735727662,-0.2970382829073558,0.5463225551175573,0.6460176991150443,81.34405334197318,22.504273504273506
50000000.0,$50M,0.16420493508429113,0.17544788414106866,0.9685450101249812,-0.2896895357994569,0.5668307439242994,0.672566371681416,85.3809536101075,22.384615384615383
75000000.0,$75M,0.15823183387903783,0.1738819856033524,0.9453212987743161,-0.2971962914434396,0.5324152367801381,0.6548672566371682,73.45448124801116,22.22222222222222
100000000.0,$100M,0.1536920209932766,0.171016273342913,0.9346236154561646,-0.28497541254480374,0.5393167769135634,0.6460176991150443,65.48310350948199,21.99145299145299
150000000.0,$150M,0.14820375140125952,0.1677842998166898,0.9209022807298716,-0.3206355991555212,0.46221864256992473,0.6371681415929203,56.957985752023134,21.47008547008547
200000000.0,$200M,0.14965438987066637,0.16843354962408325,0.9258865339371767,-0.2990063069103446,0.5005057967407337,0.6106194690265486,59.10083038329139,20.99145299145299
300000000.0,$300M,0.13974520610822272,0.17038520971940666,0.8646560464562602,-0.26807642792951547,0.5212886757240943,0.5752212389380531,45.880421069692005,20.28205128205128
500000000.0,$500M,0.12146189092309134,0.1752285377314696,0.7503332510892281,-0.28693695962104704,0.4233051436925521,0.5575221238938053,28.588884773533007,18.76068376068376
750000000.0,$750M,0.1138338901172522,0.17347102641792153,0.7156485073823663,-0.277358950436114,0.4104208280939264,0.5575221238938053,23.415180727630116,17.82051282051282
1000000000.0,$1000M,0.11667327618276957,0.17403326934492055,0.7289845567643972,-0.28527927263591957,0.4089791561256218,0.5267857142857143,24.53903972505534,17.267241379310345
