Instrument,Sales,AV_kept,AV_repro,EPV,MktCap,Fr_kept,Fr_repro,EPVoverAV_kept,EPVoverAV_repro,MktCap_over_EPV,AVrepro_over_MktCap,ROICm7,WACC,CoreMoat,CompanyMoat
9640.T,160092383.981719,235076798.59214428,212171774.17961848,155675147.1939606,191439813.27109,-79401651.39818367,-56496626.98565787,0.6622310161031898,0.7337222295279038,1.2297390863075213,1.1082949285954997,-0.1962955108,0.07400000000000001,8.05,7.45
4733.T,308483501.678485,1361664536.7489557,1219717353.1450808,2652778534.449482,3645239053.01767,1291113997.7005262,1433061181.3044012,1.9481880175737907,2.1749125136321186,1.3741211358882428,0.3346055870150276,-0.6986966985,0.07400000000000001,8.3,7.9
4685.T,280767938.143166,211504007.57862318,191224144.7559295,328085354.3499201,309183912.504168,116581346.77129692,136861209.5939906,1.5512015971042994,1.7157109253576452,0.9423886449207581,0.6184802540570467,1.0684764724,0.07400000000000001,6.55,5.05
CMG.TO,93068392.4287427,177186908.77604598,140676555.05243087,438048453.10889447,462297756.697018,260861544.3328485,297371898.0564636,2.472239377811836,3.1138696348203263,1.0553575829706112,0.30429858898196616,0.1660358642,0.06787540123535496,8.1,7.05
9790.T,96627031.4443086,299601635.66995305,242727188.8606985,525304185.0265706,467975991.997333,225702549.35661757,282576996.1658721,1.7533421800315399,2.1641752928142033,0.8908666737038505,0.5186744470047125,-20.7989271292,0.07400000000000001,7.25,6.9
9928.T,303071534.37992,574978648.9289068,485097803.9633045,526339094.03468984,398577053.017673,-48639554.894216955,41241290.071385324,0.91540632859181,1.0850164435592973,0.757262870143945,1.2170740896661583,0.0100472227,0.07400000000000001,7.8,6.95
3763.T,49668034.066114,91530903.04041067,88512487.91034345,223125175.49514297,182885795.265088,131594272.4547323,134612687.58479953,2.4377032027820564,2.520832718216577,0.8196555805916624,0.4839768325475853,0.200958923,0.07400000000000001,8.35,7.45
3762.T,425995766.396864,341951567.23206866,338433096.316762,802410711.9437747,585166831.610537,460459144.71170604,463977615.6270127,2.346562463330402,2.370958161824532,0.7292609917843917,0.5783531773072352,1.2705389394,0.07400000000000001,8.05,6.15
2326.T,65538562.7422089,160359596.93564403,147700878.85959065,428836095.50569475,629599466.48883,268476498.5700507,281135216.6461041,2.674215349130595,2.903409233694273,1.4681587512972523,0.23459498732312073,0.2546862508,0.07400000000000001,8.25,7.55
3923.T,321087745.175815,371171930.6564692,319510798.4235472,1197398300.135609,2417019006.33545,826226369.4791397,877887501.7120616,3.225993673653725,3.747598848125076,2.0185589089793394,0.13219209182304764,0.1925170751,0.07400000000000001,7.4,6.8
4373.T,311173576.698482,484982785.22167194,228164090.3729708,739745247.236685,1092332445.81527,254762462.0150131,511581156.8637142,1.5253020721108037,3.2421633309056337,1.4766332732730258,0.2088778844270976,0.0,0.07239863898671935,8.1,7.15
4419.T,50571162.2890031,100115339.22141597,89690173.32316373,148672342.4065811,299351020.340113,48557003.18516514,58982169.08341737,1.485010624373714,1.6576213078649988,2.0134950152427407,0.29961539206133536,0.0,0.07400000000000001,7.35,6.55
4498.T,48861992.4718834,73782795.32411733,64631202.614112444,143809733.88272217,125925576.525509,70026938.55860484,79178531.26860973,1.9490957648187013,2.2250821285401985,0.8756401470584889,0.5132492095521196,0.0958710495,0.07400000000000001,6.9,6.0
DT.N,1698683000.0,4663807885.041829,2937349814.930963,7385680605.485296,14136185213.2,2721872720.443467,4448330790.554333,1.5836159609346891,2.5144028021255216,1.913998989165758,0.20778942625823427,0.1091845763,0.07,7.9,7.3
4307.T,5021513202.42006,5197462633.962902,3361323930.49943,11258365609.553776,18745474806.2421,6060902975.590874,7897041679.054346,2.1661272821830035,3.3493843028336134,1.6650262974525194,0.17931388589741856,0.1154550496,0.07252956571282605,8.75,7.95
CVLT.OQ,995619000.0,1965276590.5609422,1813776742.1118195,2261364845.7853727,6941062322.56,296088255.22443056,447588103.6735532,1.1506598392544427,1.2467713325910315,3.0694128528160465,0.26131111605447493,0.0191019286,0.07,6.65,6.5
ESTC.N,1483296000.0,3052169661.794638,2603415993.26588,3648800527.724889,9097107259.4,596630865.9302506,1045384534.4590087,1.1954776215092313,1.4015434095676795,2.4931774675751472,0.2861806417172648,0.0306299097,0.06830434189828546,7.3,6.45
4431.T,73061305.7886116,90803051.4685578,79209240.2612837,278021364.9219817,432883190.04683,187218313.4534239,198812124.660698,3.0618064087664676,3.509961262156865,1.5570141171283927,0.18298063330367417,0.3265696414,0.07400000000000001,7.2,6.8
TCS.TO,126650329.526951,180974540.94697252,161487476.98996994,211074022.86456618,455842081.171184,30099481.917593658,49586545.87459624,1.1663188742465889,1.3070612458554671,2.159631370003646,0.35426188950143456,0.0929553781,0.07,8.25,7.25
4716.T,1750661221.78916,1845482220.9755368,993176874.62323,6220917306.315281,15049249517.8076,4375435085.339745,5227740431.692051,3.3708898604435507,6.263655009763733,2.419136724825143,0.06599510981913187,-0.3249932258,0.07400000000000001,6.8,6.45
4443.T,287017821.349229,431195340.9871051,373504848.1352196,925013605.0975425,1769667193.77951,493818264.11043745,551508756.962323,2.1452309827373695,2.4765772377944097,1.913125584345215,0.21105937288554158,0.2071227282,0.07400000000000001,7.0,7.15
ORCL.N,57399000000.0,77877599288.87035,54049447428.50281,179843358418.52148,464184854020.0,101965759129.65114,125793910990.01868,2.3093079404185395,3.3273856991122845,2.5810508550433915,0.11643948948445013,0.0545869194,0.06487621447192554,8.4,6.4
4478.T,222646403.453927,482806708.4038041,521706883.7863612,475459758.1621669,1581191303.38171,-7346950.24163723,-46247125.624194324,0.9847828331426322,0.9113541970377134,3.3256049039641478,0.32994545484191656,0.0170813081,0.0627826679426923,7.0,6.45
TRAK.N,22606066.0,74889109.27181143,59594411.3950274,102641580.09507437,359130867.0,27752470.823262945,43047168.70004697,1.3705808640684298,1.7223356635692664,3.4988828763873854,0.16594065526266055,1.3706434955,0.07,7.65,7.05
4847.T,104369093.751757,110679890.32936111,92635916.60842912,259991205.13883793,203755017.012707,149311314.80947682,167355288.5304088,2.3490374300621037,2.8065918129554173,0.7836996520859225,0.45464361057991504,0.7793866543,0.07400000000000001,8.7,7.8
MSFT.OQ,281724000000.0,511851195392.493,483031220278.47,1474159447238.895,3697021643889.65,962308251846.4021,991128226960.425,2.8800547122069213,3.051892683849782,2.5078845106030982,0.13065414996333943,0.2252378976,0.06975486846663359,9.2,8.4
TEAM.OQ,5215304000.0,10196093365.19173,9291542328.328693,19113227677.891792,53312310436.33,8917134312.700062,9821685349.563099,1.8745638151119834,2.057056514677662,2.7892887237458157,0.17428511824535212,0.1595992622,0.07,7.9,7.05
5254.T,26958786.9467524,40940838.324467055,34009250.568381034,160947989.5916855,220898029.303521,120007151.26721844,126938739.02330446,3.9312333644985427,4.7324768085693,1.3724808235500476,0.15395904923013698,0.0,0.07400000000000001,6.9,6.0
