date,n_pos,cash_pct
1996-03-29,0,1.0
1996-06-28,0,1.0
1996-09-30,2,0.809349298910014
1996-12-31,7,0.31223238309932827
1997-03-31,10,0.012929923082565714
1997-06-30,10,0.0123239144880759
1997-09-30,10,0.01079244766934318
1997-12-31,9,0.09146982198206609
1998-03-31,9,0.08064952671957354
1998-06-30,9,0.07963344582972798
1998-09-30,9,0.08727665649278882
1998-12-31,9,0.08127419256914405
1999-03-31,9,0.08518539213447726
1999-06-30,9,0.08299168490634491
1999-09-30,9,0.08635053687792266
1999-12-31,9,0.08359236380447657
2000-03-31,9,0.08715145158454861
2000-06-30,9,0.09123450003996633
2000-09-29,9,0.08398027770772071
2000-12-29,9,0.07375437888518922
2001-03-30,9,0.08113318339934235
2001-06-29,9,0.0766902068224459
2001-09-28,9,0.07504075498235853
2001-12-31,9,0.0645191620064981
2002-03-29,9,0.06481861100211034
2002-06-28,9,0.06250141755118026
2002-09-30,9,0.0944089632897305
2002-12-31,9,0.015421840422302813
2003-03-31,8,0.09463085229221108
2003-06-30,8,0.08146441208078888
2003-09-30,8,0.07812141898265346
2003-12-31,8,0.07269838828520626
2004-03-31,8,0.0681056518441277
2004-06-30,8,0.03867770474263769
2004-09-30,8,0.039976095891945715
2004-12-31,8,0.037699474804231935
2005-03-31,8,0.03908033721891821
2005-06-30,8,0.03789736845804555
2005-09-30,8,0.01470598495502275
2005-12-30,8,0.011811153285471556
2006-03-31,8,0.009490932714899992
2006-06-30,9,0.015613353087091478
2006-09-29,9,0.01087120237344895
2006-12-29,9,0.008709674150202358
2007-03-30,9,0.006806818446916806
2007-06-29,14,0.02062094400620678
2007-09-28,15,0.025668634976827764
2007-12-31,14,0.060574120572652185
2008-03-31,14,0.06970426079241789
2008-06-30,14,0.06890968842885213
2008-09-30,14,0.07347215918015092
2008-12-31,14,0.08328565870883564
2009-03-31,14,0.026117264589512072
2009-06-30,14,0.022976355180739184
2009-09-30,14,0.020250414845463117
2009-12-31,14,0.019102544715028834
2010-03-31,14,0.018069147185167878
2010-06-30,14,0.018903620666532645
2010-09-30,14,0.016568677883847624
2010-12-31,14,0.015721748277479776
2011-03-31,14,0.013559721318824245
2011-06-30,14,0.013521014686599272
2011-09-30,14,0.014917618747793161
2011-12-30,14,0.013263268253582977
2012-03-30,13,0.053359019594345095
2012-06-29,13,0.05474667618301711
2012-09-28,13,0.05049548505139352
2012-12-31,13,0.052790077063941565
2013-03-29,13,0.052853628506322255
2013-06-28,13,0.049035849539747545
2013-09-30,12,0.05368407258737352
2013-12-31,12,0.04844855248937666
2014-03-31,12,0.04956953464430459
2014-06-30,12,0.0467785309204305
2014-09-30,12,0.04825807084450369
2014-12-31,12,0.04374842048315128
2015-03-31,11,0.04937417432916884
2015-06-30,11,0.04899301749762347
2015-09-30,11,0.049530337882775465
2015-12-31,11,0.046873713484169396
2016-03-31,11,0.04944078918271604
2016-06-30,11,0.01743042580919664
2016-09-30,11,0.009899640303602382
2016-12-30,11,0.010321418079466349
2017-03-31,11,0.00972487460943981
2017-06-30,11,0.009229680804463668
2017-09-29,11,0.009026741335210418
2017-12-29,11,0.0085310506505586
2018-03-30,11,0.00832836020424373
2018-06-29,11,0.007572792015295861
2018-09-28,11,0.006958486861157986
2018-12-31,11,0.00836097741903538
2019-03-29,11,0.007513843764785819
2019-06-28,11,0.006757784053532754
2019-09-30,11,0.006151879428542423
2019-12-31,11,0.026904278171740216
2020-03-31,11,0.030294999186423643
2020-06-30,11,0.024395432265741576
2020-09-30,11,0.0211673468676972
2020-12-31,13,0.027359708453514896
2021-03-31,15,0.009881771397740702
2021-06-30,14,0.03769517552730119
2021-09-30,14,0.036075051712363984
2021-12-31,13,0.06665017530212689
2022-03-31,13,0.06283266571533735
2022-06-30,12,0.08348433470470863
2022-09-30,12,0.0818243820402473
2022-12-30,12,0.06677410262891935
2023-03-31,12,0.062454219982404836
2023-06-30,12,0.07979782881346842
2023-09-29,12,0.08830755266268793
2023-12-29,12,0.0873730525297219
2024-03-29,12,0.005114193048125076
2024-06-28,12,0.0044374828277171
2024-09-30,12,0.004315195187007536
2024-12-31,12,0.004367024569667505
2025-03-31,12,0.00398795478301383
2025-06-30,12,0.003848363176633186
2025-09-30,12,0.0038866037841582073
2025-12-31,11,0.06230818560138966
2026-03-31,11,0.05054669196643697
2026-06-29,12,0.046418130873286105
