date,n_pos,cash_pct,top1,top3,top5,hhi,effN
1996-03-29,0,1.0,0.0,0.0,0.0,0.0,0.0
1996-06-28,0,1.0,0.0,0.0,0.0,0.0,0.0
1996-09-30,1,0.8963974604776725,0.10360253952232742,0.10360253952232742,0.10360253952232742,0.010733486195475416,93.16637500512546
1996-12-31,4,0.6016368486972938,0.10918511519782023,0.3031749116627025,0.3983631513027061,0.03980354813923918,25.123388410044253
1997-03-31,10,0.0017430925342054782,0.11633588726015022,0.33100339480629365,0.5407138487065051,0.10068361836762298,9.93210232422052
1997-06-30,10,0.0015262609662665255,0.1220818216611733,0.36097069188102204,0.5885430989296889,0.10387284757266983,9.62715496270954
1997-09-30,10,0.0014531039724026077,0.12096327117256155,0.36114610536787695,0.571260836846512,0.10218630509851107,9.786047152169424
1997-12-31,9,0.07899903197560164,0.1219577790508483,0.3595418446709058,0.577373564700983,0.09651447608830505,10.361140012665656
1998-03-31,9,0.07099676344048643,0.13925891383439767,0.3830451425587316,0.5985721912426578,0.09978077111433331,10.021971055466738
1998-06-30,9,0.07090359118248878,0.13644019559219528,0.38968103987906777,0.6119834265982527,0.10082715475453088,9.917963096693084
1998-09-30,9,0.07674228917700163,0.14432230964201673,0.4024703978233353,0.6036603445514231,0.10035868416493036,9.964259778023704
1998-12-31,9,0.06829003783741101,0.179684275020106,0.44810143149570203,0.6322657576892317,0.10798936105837868,9.260171466885552
1999-03-31,9,0.03649862533844143,0.16930916425749998,0.4578984912607026,0.6659348945105541,0.11443712324962178,8.738423088622206
1999-06-30,9,0.03448564747544877,0.1634676138711944,0.4477317714354121,0.6788208295846605,0.11512372803198477,8.686306611979855
1999-09-30,9,0.037283251351623005,0.16902674049607258,0.46510872690301763,0.6810204231175546,0.11675432336443872,8.564993322590588
1999-12-31,9,0.03632640814990697,0.21389418876102978,0.5181727478048563,0.7101878195935292,0.12811084942619166,7.80574014206446
2000-03-31,9,0.03873791021281829,0.22761054159236974,0.5469409016868854,0.7176308971142623,0.13279436345580578,7.530440102849711
2000-06-30,9,0.03734927124516704,0.22373046400760188,0.5373844914434798,0.7158516057357509,0.13116863925864478,7.62377353041035
2000-09-29,9,0.03395892059611765,0.22031643990190436,0.5667820645411888,0.739274085508083,0.13740305023480107,7.27785881238554
2000-12-29,9,0.03330607363708625,0.18207769944883404,0.539701382437767,0.7249419650409351,0.128932067493737,7.756022372390607
2001-03-30,9,0.03867354316556681,0.18027671167891382,0.5138033339088093,0.7119564427236377,0.12416999905210024,8.053475135973963
2001-06-29,9,0.0357813426844304,0.19328490562019443,0.5110287356856764,0.7049672739477137,0.12526081229630384,7.983342768323303
2001-09-28,9,0.037950824132778546,0.15565831069378966,0.4598747534433752,0.6771031702312331,0.11591158351823817,8.627265452228547
2001-12-31,9,0.032297192475877416,0.15825912868513373,0.4596281131162171,0.7006669398260731,0.11908910084868046,8.397074063651226
2002-03-29,9,0.03245227949662333,0.15823376559164803,0.45955445170471765,0.700554648792723,0.11905093273808473,8.399766192508773
2002-06-28,9,0.033475436708398774,0.16507435612661167,0.4455332661627161,0.6536612889296902,0.11468062242172364,8.719868962017184
2002-09-30,9,0.03802491065639682,0.18490350992635662,0.4515991319937799,0.6544303371888266,0.11766379156263777,8.498791231520485
2002-12-31,9,0.03660039590049788,0.16538717818352203,0.4412286162663691,0.6531620989719129,0.11456566712556385,8.728618486583779
2003-03-31,9,0.04059954333874753,0.17031825211672563,0.42589784991595225,0.6409898018559764,0.11206652300916102,8.923271402988506
2003-06-30,9,0.036075303341864096,0.1665030408089994,0.4118743088922648,0.626447770755428,0.11011402014604137,9.081495695768131
2003-09-30,9,0.034532609156847714,0.18690373757434328,0.4283823604886386,0.6375368493385235,0.11351913156303577,8.80908782714491
2003-12-31,9,0.03102670892733501,0.1590362922976577,0.42292093713087875,0.6352370278279084,0.11183115055545154,8.942052326504049
2004-03-31,9,0.0015980332659794724,0.15726179316771685,0.3985746610530032,0.6134789644916734,0.11462921093293482,8.72377984513094
2004-06-30,9,0.0015901885427595174,0.14508468599755792,0.4097644506154763,0.6289887221401573,0.11488746329195296,8.704169901103933
2004-09-30,9,0.0016264988494487961,0.14241070734424507,0.3913496264702116,0.6214574836431952,0.11382251548918014,8.785607976613898
2004-12-31,9,0.001452058871407755,0.1495350221511786,0.38891244070305686,0.6197154321881065,0.11420585975668256,8.756118137287494
2005-03-31,9,0.0014841069680274794,0.1427369245979463,0.3886246485311808,0.614858370141002,0.11334523861109272,8.82260262763374
2005-06-30,9,0.0014598783563394093,0.15073386156875596,0.4140505126650327,0.6223770042905695,0.11452292931887531,8.731875843095319
2005-09-30,8,0.08919412730269342,0.1351241280835267,0.3900213428155771,0.6258089427921509,0.10577436628028009,9.454086421564634
2005-12-30,8,0.0884478746077762,0.14174950263354502,0.3940373158066595,0.6160056873055865,0.10578035911411143,9.453550813920398
2006-03-31,8,0.08675602206401621,0.1503243217662504,0.40819900310863366,0.6214464821688136,0.10705401695628346,9.341078722981125
2006-06-30,8,0.08820594900832089,0.14733064034760093,0.42186683455126717,0.6390404743994321,0.10790046154764682,9.267800949659689
2006-09-29,8,0.08438854638362527,0.15002435500112496,0.4346310458864837,0.6483899156366082,0.10995754735542283,9.094418928494612
2006-12-29,8,0.07935401836272707,0.15703785499195794,0.4330280413991341,0.6543981016237614,0.1116838100694764,8.953849258705615
2007-03-30,8,0.0760108031143198,0.16597317259379002,0.4524600235421572,0.6905783396396373,0.11612188605168774,8.611641043746772
2007-06-29,8,0.07204669086535785,0.16689992100171508,0.45042377328436867,0.6826886301825854,0.11596127657719724,8.623568397285489
2007-09-28,8,0.07437654789588656,0.15271828240666308,0.4497215215069683,0.6994090235512518,0.11622746308548551,8.603818524925543
2007-12-31,9,0.025978317756149786,0.16681430290077334,0.47596623109512926,0.6748264247212236,0.118125467825729,8.465574938296154
2008-03-31,9,0.028211564787686993,0.17945486391793444,0.49035327987184707,0.7023667603217167,0.12207203796643067,8.191884207544696
2008-06-30,9,0.027418656511850166,0.1921177124446712,0.5179714475628973,0.7108514350318347,0.12688346927632158,7.881247302769136
2008-09-30,9,0.030409880544572235,0.18001703639869263,0.4627766717397569,0.6721394320545223,0.11734375929506034,8.521970030681432
2008-12-31,9,0.033276146180833736,0.22164540429827825,0.5018094899173551,0.7148615017904365,0.1277591085913271,7.827230567166659
2009-03-31,9,0.03660616825868672,0.2828935801321472,0.5336648759181318,0.7078176134172072,0.14396166492106394,6.946293657747797
2009-06-30,9,0.03449839779447254,0.24651136802336876,0.5130340236836419,0.7074595296489455,0.13301667737165482,7.51785430037433
2009-09-30,9,0.03198677688197462,0.22007567280820767,0.4657538276917158,0.6778760119617653,0.12297818013032145,8.131523811299598
2009-12-31,9,0.03126440976566967,0.23138991266137518,0.47159347437022847,0.6817785706216961,0.1265625665366406,7.9012304140537015
2010-03-31,9,0.0524225539447902,0.2362611701032141,0.4564435133763596,0.6569010242458538,0.122155381840167,8.186295068918373
2010-06-30,9,0.05422018704709794,0.27143462304273286,0.497238302139754,0.6940180313904357,0.13536412423029684,7.387481769532127
2010-09-30,9,0.04769682185213497,0.2814856883334168,0.51095961628051,0.7025793653282508,0.14044998685382787,7.119972186545959
2010-12-31,9,0.04411484959741148,0.308494049242164,0.5339578755757086,0.720560900916935,0.15261184530619704,6.552571315769245
2011-03-31,9,0.04193925492975012,0.2928702995216618,0.5291716953269763,0.7121093618604366,0.14595177827363492,6.851578047409391
2011-06-30,9,0.041016787300291464,0.30719543334198096,0.5343238156507808,0.7216692031063427,0.15217786797806546,6.571257787263372
2011-09-30,9,0.045795267540341134,0.350648452925206,0.5821944662275191,0.7446192096284493,0.17515994836878712,5.7090676796419775
2011-12-30,9,0.042139984084284036,0.3268809748864236,0.5550017691438385,0.7116740515859432,0.1611369518774546,6.20590118125422
2012-03-30,9,0.0009306910138351139,0.31980705586085784,0.5846932916417554,0.7579305162492695,0.16953598474905648,5.898452776737508
2012-06-29,8,0.07378287023607039,0.32200564204597115,0.5965933682093059,0.7524464104202949,0.16540490222408447,6.045770025880109
2012-09-28,8,0.0714478230654849,0.3123876898461601,0.6054968499196183,0.7600778710437975,0.16472444284650106,6.070744467060379
2012-12-31,8,0.07444779640298918,0.31054388536794236,0.5840243381834149,0.749261811033705,0.15888041563244468,6.294041943554633
2013-03-29,8,0.07478964249611109,0.3104291882027869,0.5838086329670907,0.7489850765374422,0.15876307461342481,6.298693839451766
2013-06-28,8,0.06938509027771331,0.3425744315739264,0.5695600277399846,0.7541116108992825,0.171485341538886,5.831402212143247
2013-09-30,8,0.027469971641723986,0.32590147807082354,0.5615395716312406,0.7811360130558154,0.17140116174564304,5.834266173084557
2013-12-31,8,0.025048830630978597,0.334330380034287,0.5830850040356972,0.7937546069850248,0.17726944122153893,5.641130208958407
2014-03-31,8,0.023653024930410445,0.3530260923103463,0.5844703707532997,0.7987044597427977,0.1858185785292491,5.381593207283055
